timestamp,games,simulations,pure_mean,pure_std,nn_mean,nn_std,delta,nn_wins,same,turns,seed,nn_architecture
2025-12-25T20:40:30.990609640+00:00,10,150,88.90,22.73,90.70,21.56,1.80,6,1,19,2025,cnn
2025-12-25T20:55:10.363714100+00:00,100,150,84.25,28.70,79.66,31.57,-4.59,44,2,19,2025,cnn
2025-12-25T21:03:27.781700841+00:00,20,150,91.75,27.56,86.45,29.87,-5.30,11,0,19,2025,cnn
2026-01-03T08:06:51.317677881+00:00,100,200,83.27,25.97,76.20,26.97,-7.07,42,0,19,2025,cnn
2026-01-05T08:42:31.052979672+00:00,10,500,75.80,25.53,49.50,26.51,-26.30,2,0,19,42,cnn
2026-01-17T22:20:59.417423524+00:00,10,100,96.80,21.10,7.20,13.83,-89.60,0,0,19,2025,cnn
2026-01-18T06:53:43.456133269+00:00,50,150,97.12,31.15,10.40,14.32,-86.72,0,0,19,2025,cnn
2026-01-18T07:23:53.762452209+00:00,50,150,102.48,30.01,10.60,14.35,-91.88,0,0,19,2025,cnn
2026-01-18T07:49:53.567377226+00:00,30,100,93.03,28.48,12.00,15.79,-81.03,0,0,19,2025,cnn
2026-01-18T07:54:54.197968012+00:00,30,100,102.37,29.53,12.00,15.79,-90.37,0,0,19,2025,cnn
2026-01-18T07:59:13.622150021+00:00,30,100,102.47,24.80,12.00,15.79,-90.47,0,0,19,2025,cnn
2026-01-18T08:04:57.756593921+00:00,30,100,96.13,25.41,12.00,15.79,-84.13,0,0,19,2025,cnn
2026-01-18T08:40:26.199779636+00:00,30,100,101.10,24.44,12.27,15.09,-88.83,0,0,19,2025,cnn
2026-01-18T08:44:18.358232378+00:00,30,100,99.67,35.53,12.27,15.09,-87.40,0,0,19,2025,cnn
2026-01-18T08:48:00.098803201+00:00,30,100,110.33,29.50,12.27,15.09,-98.07,0,0,19,2025,cnn
2026-01-18T08:57:37.128144182+00:00,30,100,107.50,26.50,12.27,15.09,-95.23,0,0,19,2025,cnn
2026-01-18T09:10:57.014872800+00:00,30,100,103.30,25.35,99.40,30.80,-3.90,13,0,19,2025,cnn
2026-01-18T13:30:43.948228773+00:00,20,100,105.30,27.88,94.60,26.10,-10.70,6,0,19,2025,cnn-onehot
2026-01-18T14:32:41.731547122+00:00,30,100,105.80,31.91,96.67,25.29,-9.13,14,1,19,2025,cnn-onehot
2026-01-18T18:10:17.463176984+00:00,20,100,97.90,24.24,114.80,23.99,16.90,14,0,19,2025,cnn
2026-01-18T18:29:56.429944404+00:00,50,100,101.20,25.45,98.74,27.97,-2.46,21,0,19,2025,cnn
2026-01-18T20:15:02.752363835+00:00,50,100,95.48,27.54,100.86,24.70,5.38,29,0,19,2025,cnn
2026-01-18T20:36:56.266440464+00:00,50,100,97.96,32.85,99.24,33.21,1.28,26,0,19,2025,cnn
2026-01-18T22:29:14.859772182+00:00,50,100,94.32,37.72,103.58,28.25,9.26,26,0,19,2025,cnn
2026-01-19T07:45:13.956832045+00:00,50,200,96.02,31.34,98.16,29.49,2.14,26,1,19,2025,cnn
2026-01-19T08:51:59.620457741+00:00,50,100,106.40,25.51,103.10,23.30,-3.30,26,1,19,2025,cnn
2026-01-22T20:52:15.290294699+00:00,50,50,93.34,27.86,103.60,25.70,10.26,29,0,19,2025,cnn
2026-01-22T22:04:24.804063035+00:00,50,50,100.16,33.76,106.54,26.21,6.38,28,2,19,2025,cnn
2026-01-23T08:21:39.176827584+00:00,50,50,98.48,22.73,106.38,21.67,7.90,33,0,19,2025,cnn
2026-01-23T08:28:19.667083260+00:00,30,30,105.20,32.49,103.50,28.84,-1.70,12,0,19,2025,cnn
2026-01-23T08:41:45.051965900+00:00,50,50,94.42,27.03,101.60,35.62,7.18,25,1,19,2025,cnn
2026-01-23T13:29:46.835081216+00:00,100,100,96.43,26.71,100.02,28.06,3.59,56,0,19,2025,cnn
