timestamp,games,simulations,seed,turns,nn_architecture,c_puct_early,c_puct_mid,c_puct_late,variance_mult_high,variance_mult_low,prune_early,prune_mid1,prune_mid2,prune_late,rollout_strong,rollout_medium,rollout_default,rollout_weak,weight_cnn,weight_rollout,weight_heuristic,weight_contextual,avg_score,std_dev,min_score,max_score
2025-11-07 17:37:33,3,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.100,0.100,180.00,12.68,164,195
2025-11-07 17:58:45,10,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.100,0.100,147.30,24.54,108,195
2025-11-07 18:09:54,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.150,0.150,0.150,153.00,12.00,141,165
2025-11-07 18:11:08,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.200,0.100,0.150,145.00,19.00,126,164
2025-11-07 18:12:22,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.200,0.150,0.100,140.00,1.00,139,141
2025-11-07 18:13:38,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.050,0.150,139.50,1.50,138,141
2025-11-07 18:14:54,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.100,0.100,159.00,22.00,137,181
2025-11-07 18:16:10,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.150,0.050,154.50,20.50,134,175
2025-11-07 18:17:26,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.150,0.100,0.150,154.50,9.50,145,164
2025-11-07 18:18:28,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.150,0.150,0.100,140.00,1.00,139,141
2025-11-07 18:19:08,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.050,0.150,148.00,4.00,144,152
2025-11-07 18:20:10,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.100,0.100,149.50,15.50,134,165
2025-11-07 18:20:55,2,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.150,0.050,163.00,24.00,139,187
