timestamp,games,simulations,seed,turns,nn_architecture,c_puct_early,c_puct_mid,c_puct_late,variance_mult_high,variance_mult_low,prune_early,prune_mid1,prune_mid2,prune_late,rollout_strong,rollout_medium,rollout_default,rollout_weak,weight_cnn,weight_rollout,weight_heuristic,weight_contextual,avg_score,std_dev,min_score,max_score
2025-11-07 18:27:12,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.150,0.150,0.150,143.00,24.20,92,186
2025-11-07 18:33:10,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.200,0.100,0.150,143.00,27.72,95,195
2025-11-07 18:39:07,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.200,0.150,0.100,137.75,19.71,108,175
2025-11-07 18:45:04,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.050,0.150,144.75,19.76,96,182
2025-11-07 18:51:03,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.100,0.100,149.00,27.60,95,195
2025-11-07 18:57:00,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.550,0.250,0.150,0.050,146.05,22.46,109,187
2025-11-07 19:02:58,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.150,0.100,0.150,136.40,27.06,89,186
2025-11-07 19:08:56,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.150,0.150,0.100,136.35,24.39,86,181
2025-11-07 19:14:53,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.050,0.150,142.00,25.59,88,182
2025-11-07 19:20:51,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.100,0.100,142.90,25.14,95,195
2025-11-07 19:26:50,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.200,0.150,0.050,140.50,22.20,107,187
2025-11-07 19:32:47,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.250,0.050,0.100,148.75,14.17,123,175
2025-11-07 19:38:45,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.600,0.250,0.100,0.050,143.10,23.94,105,192
2025-11-07 19:44:43,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.150,0.050,0.150,135.25,23.90,88,168
2025-11-07 19:50:40,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.150,0.100,0.100,140.25,27.24,86,186
2025-11-07 19:56:38,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.150,0.150,0.050,126.75,28.70,67,187
2025-11-07 20:02:36,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.200,0.050,0.100,151.90,20.17,112,195
2025-11-07 20:08:33,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.200,0.100,0.050,150.15,17.25,108,181
2025-11-07 20:14:31,20,150,2025,19,cnn,4.200,3.800,3.000,1.300,0.850,0.050,0.100,0.150,0.200,3,5,7,9,0.650,0.250,0.050,0.050,158.05,13.64,134,186
