game_id,turn,plateau_0,plateau_1,plateau_2,plateau_3,plateau_4,plateau_5,plateau_6,plateau_7,plateau_8,plateau_9,plateau_10,plateau_11,plateau_12,plateau_13,plateau_14,plateau_15,plateau_16,plateau_17,plateau_18,tile_0,tile_1,tile_2,position,final_score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,18,110
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,5,2,4,3,110
0,2,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,4,15,110
0,3,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,164,0,0,163,5,6,4,1,110
0,4,0,564,0,524,0,0,0,0,0,0,0,0,0,0,0,164,0,0,163,9,2,4,8,110
0,5,0,564,0,524,0,0,0,0,924,0,0,0,0,0,0,164,0,0,163,9,2,3,10,110
0,6,0,564,0,524,0,0,0,0,924,0,923,0,0,0,0,164,0,0,163,9,7,8,2,110
0,7,0,564,978,524,0,0,0,0,924,0,923,0,0,0,0,164,0,0,163,5,6,8,6,110
0,8,0,564,978,524,0,0,568,0,924,0,923,0,0,0,0,164,0,0,163,9,6,4,11,110
0,9,0,564,978,524,0,0,568,0,924,0,923,964,0,0,0,164,0,0,163,1,2,3,14,110
0,10,0,564,978,524,0,0,568,0,924,0,923,964,0,0,123,164,0,0,163,5,7,4,0,110
0,11,574,564,978,524,0,0,568,0,924,0,923,964,0,0,123,164,0,0,163,5,2,3,4,110
0,12,574,564,978,524,523,0,568,0,924,0,923,964,0,0,123,164,0,0,163,1,7,8,16,110
0,13,574,564,978,524,523,0,568,0,924,0,923,964,0,0,123,164,178,0,163,9,7,3,9,110
0,14,574,564,978,524,523,0,568,0,924,973,923,964,0,0,123,164,178,0,163,1,2,8,17,110
0,15,574,564,978,524,523,0,568,0,924,973,923,964,0,0,123,164,178,128,163,9,2,8,7,110
0,16,574,564,978,524,523,0,568,928,924,973,923,964,0,0,123,164,178,128,163,5,2,8,12,110
0,17,574,564,978,524,523,0,568,928,924,973,923,964,528,0,123,164,178,128,163,1,7,3,13,110
0,18,574,564,978,524,523,0,568,928,924,973,923,964,528,173,123,164,178,128,163,5,6,3,5,110
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,68
1,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,5,68
1,2,123,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,3,68
1,3,123,0,0,964,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,2,68
1,4,123,0,574,964,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,13,68
1,5,123,0,574,964,0,928,0,0,0,0,0,0,0,563,0,0,0,0,0,9,2,4,7,68
1,6,123,0,574,964,0,928,0,924,0,0,0,0,0,563,0,0,0,0,0,5,2,3,8,68
1,7,123,0,574,964,0,928,0,924,523,0,0,0,0,563,0,0,0,0,0,9,2,3,4,68
1,8,123,0,574,964,923,928,0,924,523,0,0,0,0,563,0,0,0,0,0,1,6,3,14,68
1,9,123,0,574,964,923,928,0,924,523,0,0,0,0,563,163,0,0,0,0,9,7,3,9,68
1,10,123,0,574,964,923,928,0,924,523,973,0,0,0,563,163,0,0,0,0,5,7,3,17,68
1,11,123,0,574,964,923,928,0,924,523,973,0,0,0,563,163,0,0,573,0,9,6,3,6,68
1,12,123,0,574,964,923,928,963,924,523,973,0,0,0,563,163,0,0,573,0,1,2,4,16,68
1,13,123,0,574,964,923,928,963,924,523,973,0,0,0,563,163,0,124,573,0,5,2,4,11,68
1,14,123,0,574,964,923,928,963,924,523,973,0,524,0,563,163,0,124,573,0,1,6,8,10,68
1,15,123,0,574,964,923,928,963,924,523,973,168,524,0,563,163,0,124,573,0,1,2,8,1,68
1,16,123,128,574,964,923,928,963,924,523,973,168,524,0,563,163,0,124,573,0,5,2,8,15,68
1,17,123,128,574,964,923,928,963,924,523,973,168,524,0,563,163,528,124,573,0,5,6,8,18,68
1,18,123,128,574,964,923,928,963,924,523,973,168,524,0,563,163,528,124,573,568,1,7,3,12,68
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,7,100
2,1,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,5,6,4,8,100
2,2,0,0,0,0,0,0,0,578,564,0,0,0,0,0,0,0,0,0,0,1,7,4,3,100
2,3,0,0,0,174,0,0,0,578,564,0,0,0,0,0,0,0,0,0,0,9,2,4,16,100
2,4,0,0,0,174,0,0,0,578,564,0,0,0,0,0,0,0,924,0,0,5,7,3,11,100
2,5,0,0,0,174,0,0,0,578,564,0,0,573,0,0,0,0,924,0,0,5,6,3,4,100
2,6,0,0,0,174,563,0,0,578,564,0,0,573,0,0,0,0,924,0,0,9,7,8,18,100
2,7,0,0,0,174,563,0,0,578,564,0,0,573,0,0,0,0,924,0,978,5,2,8,9,100
2,8,0,0,0,174,563,0,0,578,564,528,0,573,0,0,0,0,924,0,978,1,7,8,0,100
2,9,178,0,0,174,563,0,0,578,564,528,0,573,0,0,0,0,924,0,978,1,6,8,12,100
2,10,178,0,0,174,563,0,0,578,564,528,0,573,168,0,0,0,924,0,978,1,7,3,6,100
2,11,178,0,0,174,563,0,173,578,564,528,0,573,168,0,0,0,924,0,978,5,2,3,10,100
2,12,178,0,0,174,563,0,173,578,564,528,523,573,168,0,0,0,924,0,978,1,6,4,5,100
2,13,178,0,0,174,563,164,173,578,564,528,523,573,168,0,0,0,924,0,978,5,7,4,14,100
2,14,178,0,0,174,563,164,173,578,564,528,523,573,168,0,574,0,924,0,978,1,6,3,1,100
2,15,178,163,0,174,563,164,173,578,564,528,523,573,168,0,574,0,924,0,978,9,2,8,17,100
2,16,178,163,0,174,563,164,173,578,564,528,523,573,168,0,574,0,924,928,978,9,6,8,13,100
2,17,178,163,0,174,563,164,173,578,564,528,523,573,168,968,574,0,924,928,978,1,2,4,2,100
2,18,178,163,124,174,563,164,173,578,564,528,523,573,168,968,574,0,924,928,978,9,2,3,15,100
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,4,113
3,1,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,113
3,2,128,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,10,113
3,3,128,0,0,0,568,0,0,0,0,0,923,0,0,0,0,0,0,0,0,9,2,4,12,113
3,4,128,0,0,0,568,0,0,0,0,0,923,0,924,0,0,0,0,0,0,5,7,3,2,113
3,5,128,0,573,0,568,0,0,0,0,0,923,0,924,0,0,0,0,0,0,1,2,4,7,113
3,6,128,0,573,0,568,0,0,124,0,0,923,0,924,0,0,0,0,0,0,9,7,4,15,113
3,7,128,0,573,0,568,0,0,124,0,0,923,0,924,0,0,974,0,0,0,9,6,4,13,113
3,8,128,0,573,0,568,0,0,124,0,0,923,0,924,964,0,974,0,0,0,9,2,8,14,113
3,9,128,0,573,0,568,0,0,124,0,0,923,0,924,964,928,974,0,0,0,5,2,3,6,113
3,10,128,0,573,0,568,0,523,124,0,0,923,0,924,964,928,974,0,0,0,9,7,3,11,113
3,11,128,0,573,0,568,0,523,124,0,0,923,973,924,964,928,974,0,0,0,5,7,4,3,113
3,12,128,0,573,574,568,0,523,124,0,0,923,973,924,964,928,974,0,0,0,5,2,4,8,113
3,13,128,0,573,574,568,0,523,124,524,0,923,973,924,964,928,974,0,0,0,9,6,8,9,113
3,14,128,0,573,574,568,0,523,124,524,968,923,973,924,964,928,974,0,0,0,1,7,3,1,113
3,15,128,173,573,574,568,0,523,124,524,968,923,973,924,964,928,974,0,0,0,1,6,4,17,113
3,16,128,173,573,574,568,0,523,124,524,968,923,973,924,964,928,974,0,164,0,5,2,8,18,113
3,17,128,173,573,574,568,0,523,124,524,968,923,973,924,964,928,974,0,164,528,1,7,4,16,113
3,18,128,173,573,574,568,0,523,124,524,968,923,973,924,964,928,974,174,164,528,1,7,8,5,113
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,10,92
4,1,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,1,6,8,15,92
4,2,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,168,0,0,0,1,6,3,14,92
4,3,0,0,0,0,0,0,0,0,0,0,564,0,0,0,163,168,0,0,0,5,6,3,17,92
4,4,0,0,0,0,0,0,0,0,0,0,564,0,0,0,163,168,0,563,0,1,2,3,13,92
4,5,0,0,0,0,0,0,0,0,0,0,564,0,0,123,163,168,0,563,0,9,7,8,4,92
4,6,0,0,0,0,978,0,0,0,0,0,564,0,0,123,163,168,0,563,0,9,6,3,7,92
4,7,0,0,0,0,978,0,0,963,0,0,564,0,0,123,163,168,0,563,0,5,7,8,12,92
4,8,0,0,0,0,978,0,0,963,0,0,564,0,578,123,163,168,0,563,0,9,2,4,2,92
4,9,0,0,924,0,978,0,0,963,0,0,564,0,578,123,163,168,0,563,0,5,7,3,18,92
4,10,0,0,924,0,978,0,0,963,0,0,564,0,578,123,163,168,0,563,573,1,6,4,11,92
4,11,0,0,924,0,978,0,0,963,0,0,564,164,578,123,163,168,0,563,573,1,7,3,8,92
4,12,0,0,924,0,978,0,0,963,173,0,564,164,578,123,163,168,0,563,573,9,7,4,1,92
4,13,0,974,924,0,978,0,0,963,173,0,564,164,578,123,163,168,0,563,573,1,7,4,3,92
4,14,0,974,924,174,978,0,0,963,173,0,564,164,578,123,163,168,0,563,573,5,2,3,16,92
4,15,0,974,924,174,978,0,0,963,173,0,564,164,578,123,163,168,523,563,573,5,2,8,5,92
4,16,0,974,924,174,978,528,0,963,173,0,564,164,578,123,163,168,523,563,573,1,2,8,9,92
4,17,0,974,924,174,978,528,0,963,173,128,564,164,578,123,163,168,523,563,573,5,7,4,6,92
4,18,0,974,924,174,978,528,574,963,173,128,564,164,578,123,163,168,523,563,573,9,2,8,0,92
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,5,121
5,1,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,15,121
5,2,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,563,0,0,0,9,2,8,6,121
5,3,0,0,0,0,0,978,928,0,0,0,0,0,0,0,0,563,0,0,0,9,7,4,3,121
5,4,0,0,0,974,0,978,928,0,0,0,0,0,0,0,0,563,0,0,0,5,2,8,13,121
5,5,0,0,0,974,0,978,928,0,0,0,0,0,0,528,0,563,0,0,0,9,2,4,4,121
5,6,0,0,0,974,924,978,928,0,0,0,0,0,0,528,0,563,0,0,0,9,2,3,17,121
5,7,0,0,0,974,924,978,928,0,0,0,0,0,0,528,0,563,0,923,0,5,7,8,12,121
5,8,0,0,0,974,924,978,928,0,0,0,0,0,578,528,0,563,0,923,0,9,6,8,16,121
5,9,0,0,0,974,924,978,928,0,0,0,0,0,578,528,0,563,968,923,0,9,6,4,18,121
5,10,0,0,0,974,924,978,928,0,0,0,0,0,578,528,0,563,968,923,964,5,2,3,2,121
5,11,0,0,523,974,924,978,928,0,0,0,0,0,578,528,0,563,968,923,964,5,6,4,14,121
5,12,0,0,523,974,924,978,928,0,0,0,0,0,578,528,564,563,968,923,964,1,6,3,10,121
