iteration,policy_loss,value_loss,benchmark_score_mean,benchmark_score_std
1,1.7027,2.3105,52.36,30.35
2,1.5207,2.2062,39.15,29.51
3,1.4205,2.2298,37.35,25.61
4,1.3017,2.5674,38.61,28.15
5,1.2344,2.8138,47.92,27.94
6,1.1944,2.5461,42.93,30.33
7,1.1167,2.8551,47.89,30.61
8,1.1395,2.5695,39.96,26.82
9,1.1228,2.4768,43.12,24.53
10,1.1193,2.5610,44.27,25.59
11,1.0888,2.6957,51.28,27.69
12,1.1043,2.6351,50.77,28.95
13,1.1072,2.5509,49.81,25.74
14,1.0620,2.5776,56.42,27.90
15,1.0691,2.8045,51.58,31.90
16,1.0821,0.1327,52.32,29.28
17,1.1202,0.1396,51.18,30.35
18,1.1115,0.1186,51.56,27.46
19,1.1099,0.1075,48.52,27.75
20,1.0838,0.0446,44.31,29.20
21,1.0912,0.0466,50.71,26.30
22,1.0709,0.0378,46.88,27.33
23,1.0842,0.0219,41.86,26.70
24,1.0587,0.0349,50.59,28.25
25,1.0793,0.0279,51.89,30.86
26,1.0763,0.0235,51.61,29.64
27,1.0714,0.0157,46.30,29.04
28,1.0551,0.0199,45.20,27.10
29,1.0489,0.0353,45.51,26.98
30,1.0727,0.0172,41.99,26.86
31,1.0539,0.0225,51.12,28.44
32,1.0590,0.0114,54.79,28.86
33,1.0684,0.0148,50.80,28.45
34,1.0584,0.0116,48.54,25.95
35,1.0600,0.0109,48.66,26.51
36,1.0442,0.0127,47.83,27.26
37,1.0245,0.0162,55.83,30.49
38,1.0347,0.0156,50.62,25.06
39,1.0365,0.0085,50.78,28.40
40,1.0376,0.0134,53.00,26.59
41,1.0549,0.0122,49.70,27.70
42,1.0128,0.0098,45.89,25.94
43,1.0442,0.0101,54.62,27.03
44,1.0510,0.0113,50.80,27.79
45,1.0342,0.0162,46.08,27.12
46,1.0188,0.0199,54.20,28.79
47,1.0313,0.0097,50.92,29.03
48,1.0262,0.0092,50.99,29.89
49,1.0356,0.0126,51.37,26.83
50,1.0528,0.0102,54.38,31.12
