iteration,policy_loss,value_loss,benchmark_score_mean,benchmark_score_std
1,2.9444,0.1069,145.63,21.80
2,2.9444,0.1120,150.89,23.18
3,2.9444,0.1159,147.00,25.70
4,2.9444,0.1101,150.24,23.21
5,2.9444,0.0749,142.58,22.79
6,2.9444,0.0925,151.34,24.15
7,2.9444,0.1038,145.60,23.41
8,2.9444,0.0926,149.23,23.74
9,2.9444,0.1078,147.55,22.11
10,2.9444,0.0853,148.15,23.27
11,2.9444,0.1008,148.01,25.28
12,2.9444,0.0786,152.09,25.73
13,2.9444,0.0838,150.70,22.96
14,2.9444,0.1219,153.68,24.90
15,2.9444,0.0972,147.86,25.09
16,2.9444,0.1011,149.57,26.36
17,2.9444,0.1101,149.40,24.20
18,2.9444,0.0599,149.20,24.71
19,2.9444,0.1033,150.24,23.98
20,2.9444,0.0798,146.71,23.42
21,2.9444,0.0823,152.41,24.38
22,2.9444,0.0896,147.09,25.07
23,2.9444,0.0967,150.98,23.40
24,2.9444,0.0670,150.16,23.33
25,2.9444,0.1233,148.22,27.00
26,2.9444,0.1135,150.16,23.40
27,2.9444,0.0926,148.45,28.30
28,2.9444,0.0912,147.31,24.65
29,2.9444,0.0736,147.59,25.02
30,2.9444,0.1025,151.65,22.31
31,2.9444,0.1031,146.88,26.73
32,2.9444,0.0901,147.08,24.64
33,2.9444,0.0896,148.19,24.55
34,2.9444,0.1062,153.82,22.86
35,2.9444,0.0990,153.29,23.98
36,2.9444,0.0900,146.47,23.66
37,2.9444,0.1153,151.32,25.75
38,2.9444,0.1058,147.69,25.93
39,2.9444,0.0743,147.45,20.83
40,2.9444,0.1152,149.98,23.04
41,2.9444,0.1249,148.43,25.55
42,2.9444,0.0967,150.72,24.40
43,2.9444,0.1347,148.51,23.55
44,2.9444,0.0890,152.59,25.99
45,2.9444,0.1016,151.55,24.94
46,2.9444,0.0872,149.85,23.70
47,2.9444,0.1123,148.82,26.00
48,2.9444,0.0757,149.32,21.98
49,2.9444,0.0841,152.65,23.43
50,2.9444,0.1000,147.64,25.78
