epoch,loss,transformer_avg,transformer_vs_mcts,baseline_mcts
1,158.797852,,,
2,158.797851,,,
3,158.797850,,,
4,158.797851,,,
5,158.797852,12.20,13.65,145.20
6,158.797851,,,
7,158.797846,,,
8,158.797849,,,
9,158.797852,,,
10,158.797850,8.40,12.65,136.10
11,158.797852,,,
12,158.797853,,,
13,158.797852,,,
14,158.797851,,,
15,158.797850,15.35,7.55,134.30
16,158.797853,,,
17,158.797851,,,
18,158.797849,,,
19,158.797852,,,
20,158.797851,14.95,15.60,136.10
21,158.797852,,,
22,158.797849,,,
23,158.797852,,,
24,158.797852,,,
25,158.797850,12.20,11.35,144.80
26,158.797851,,,
27,158.797852,,,
28,158.797853,,,
29,158.797850,,,
30,158.797851,12.05,11.95,135.80
31,158.797850,,,
32,158.797854,,,
33,158.797849,,,
34,158.797852,,,
35,158.797849,7.60,9.95,140.90
36,158.797853,,,
37,158.797850,,,
38,158.797851,,,
39,158.797850,,,
40,158.797854,5.35,13.60,139.25
41,158.797852,,,
42,158.797853,,,
43,158.797851,,,
44,158.797849,,,
45,158.797852,7.70,10.45,144.20
46,158.797853,,,
47,158.797853,,,
48,158.797853,,,
49,158.797850,,,
50,158.797850,10.90,11.15,143.15
51,158.797851,,,
52,158.797852,,,
53,158.797856,,,
54,158.797853,,,
55,158.797849,2.25,8.85,142.45
56,158.797854,,,
57,158.797854,,,
58,158.797852,,,
59,158.797853,,,
60,158.797850,12.55,8.85,147.00
61,158.797848,,,
62,158.797852,,,
63,158.797852,,,
64,158.797847,,,
65,158.797852,7.75,10.65,131.00
66,158.797853,,,
67,158.797850,,,
68,158.797853,,,
69,158.797850,,,
70,158.797852,16.20,16.60,145.50
71,158.797849,,,
72,158.797853,,,
73,158.797853,,,
74,158.797850,,,
75,158.797852,12.45,10.25,136.35
76,158.797851,,,
77,158.797850,,,
78,158.797850,,,
79,158.797853,,,
80,158.797848,13.75,8.90,137.00
81,158.797850,,,
82,158.797854,,,
83,158.797850,,,
84,158.797852,,,
85,158.797848,4.35,13.55,136.00
86,158.797851,,,
87,158.797849,,,
88,158.797854,,,
89,158.797851,,,
90,158.797853,13.65,10.35,145.90
91,158.797849,,,
92,158.797853,,,
93,158.797847,,,
94,158.797850,,,
95,158.797850,15.10,13.10,145.95
96,158.797853,,,
97,158.797851,,,
98,158.797851,,,
99,158.797852,,,
100,158.797851,15.40,15.75,146.05
1,159.915025,,,
2,159.793350,,,
3,159.737273,,,
4,159.705361,,,
5,160.115099,9.25,6.65,136.05
6,159.459430,,,
7,159.383884,,,
8,159.784212,,,
9,159.508541,,,
10,159.798506,14.50,7.65,150.25
11,159.072667,,,
12,159.766508,,,
